trained_up_to_task,eval_task,model,seed,recall@10,ndcg@10,forgetting_recall,forgetting_ndcg
0,0,baseline,42,0.4457662701189643,0.2465405803489218,,
0,avg,baseline,42,0.4457662701189643,0.2465405803489218,,
1,0,baseline,42,0.4464660601819454,0.24305166161252204,,
1,1,baseline,42,0.4732770745428973,0.2574809770166622,,
1,avg,baseline,42,0.45987156736242135,0.25026631931459214,-0.0006997900629810982,0.0034889187363997543
2,0,baseline,42,0.4268719384184745,0.23750733223889073,,
2,1,baseline,42,0.4676511954992968,0.24516307286991518,,
2,2,baseline,42,0.5070821529745042,0.2716169596056087,,
2,avg,baseline,42,0.46720176229742516,0.2514291215714715,0.012610000403535715,0.010675576128389055
3,0,baseline,42,0.4072778166550035,0.21918681580925256,,
3,1,baseline,42,0.4345991561181435,0.230459398316264,,
3,2,baseline,42,0.5121813031161473,0.27621748430533044,,
3,3,baseline,42,0.5636716224951519,0.31158476179849737,,
3,avg,baseline,42,0.47943247459611155,0.2593621150573361,0.024255670603350876,0.016591606180115247
4,0,baseline,42,0.4275717284814556,0.22712652826325888,,
4,1,baseline,42,0.44866385372714485,0.24349359476365118,,
4,2,baseline,42,0.5206798866855524,0.2825909315526654,,
4,3,baseline,42,0.5358758888170653,0.2970964419471886,,
4,4,baseline,42,0.5031627372052904,0.26653188607554246,,
4,avg,baseline,42,0.48719081898330174,0.26336787652046134,0.015701175656230942,0.010379076735661942
