trained_up_to_task,eval_task,model,lambda_ewc,seed,recall@10,ndcg@10,forgetting_recall,forgetting_ndcg
0,0,ewc,10.0,42,0.4457662701189643,0.2465405803489218,,
0,avg,ewc,10.0,42,0.4457662701189643,0.2465405803489218,,
1,0,ewc,10.0,42,0.4429671098670399,0.23907907283164306,,
1,1,ewc,10.0,42,0.47960618846694797,0.2585619510519521,,
1,avg,ewc,10.0,42,0.4612866491669939,0.2488205119417976,0.002799160251924393,0.007461507517278726
2,0,ewc,10.0,42,0.4275717284814556,0.22924404973496584,,
2,1,ewc,10.0,42,0.45850914205344584,0.2475738818383921,,
2,2,ewc,10.0,42,0.5070821529745042,0.2715247358377527,,
2,avg,ewc,10.0,42,0.46438767450313523,0.24944755580370356,0.019645794025505425,0.014142299913757983
3,0,ewc,10.0,42,0.4163750874737579,0.22555433907151806,,
3,1,ewc,10.0,42,0.4507735583684951,0.2375665879618434,,
3,2,ewc,10.0,42,0.5121813031161473,0.2779181205010617,,
3,3,ewc,10.0,42,0.5513897866839044,0.3068842203214851,,
3,avg,ewc,10.0,42,0.4826799339105762,0.26198081696397707,0.017708220867338736,0.01186273990140116
4,0,ewc,10.0,42,0.43037088873338,0.22249321905443767,,
4,1,ewc,10.0,42,0.4781997187060478,0.251710409332596,,
4,2,ewc,10.0,42,0.5161473087818697,0.285423162587979,,
4,3,ewc,10.0,42,0.5436328377504848,0.29904394417172797,,
4,4,ewc,10.0,42,0.49511213341000576,0.26465345249908145,,
4,avg,ewc,10.0,42,0.4926925774763576,0.2646648375291644,0.005148198603545429,0.0078085342691700185
