trained_up_to_task,eval_task,model,lambda_ewc,buffer_size,seed,recall@10,ndcg@10,forgetting_recall,forgetting_ndcg
0,0,hybrid,10.0,5000,42,0.4457662701189643,0.2465405803489218,,
0,avg,hybrid,10.0,5000,42,0.4457662701189643,0.2465405803489218,,
1,0,hybrid,10.0,5000,42,0.44226731980405876,0.24467510877579887,,
1,1,hybrid,10.0,5000,42,0.47960618846694797,0.2528645488238368,,
1,avg,hybrid,10.0,5000,42,0.4609367541355034,0.24876982879981785,0.0034989503149055468,0.0018654715731229177
2,0,hybrid,10.0,5000,42,0.4338698390482855,0.2356083473807202,,
2,1,hybrid,10.0,5000,42,0.47187060478199716,0.24183882473222648,,
2,2,hybrid,10.0,5000,42,0.511614730878187,0.2719478480370119,,
2,avg,hybrid,10.0,5000,42,0.4724517249028232,0.24979834004998622,0.009816007377814795,0.010978978529905953
3,0,hybrid,10.0,5000,42,0.41497550734779565,0.2287460608529077,,
3,1,hybrid,10.0,5000,42,0.4472573839662447,0.23270022131387358,,
3,2,hybrid,10.0,5000,42,0.4991501416430595,0.27007396341045586,,
3,3,hybrid,10.0,5000,42,0.5494505494505495,0.3060278300130914,,
3,avg,hybrid,10.0,5000,42,0.47770839560191236,0.25938701889758214,0.02520138550233314,0.013277577210844447
4,0,hybrid,10.0,5000,42,0.42477256822953113,0.2271247542847112,,
4,1,hybrid,10.0,5000,42,0.45639943741209565,0.24107476484171952,,
4,2,hybrid,10.0,5000,42,0.5076487252124646,0.2751365078069671,,
4,3,hybrid,10.0,5000,42,0.5449256625727213,0.3027598100010626,,
4,4,hybrid,10.0,5000,42,0.5014376078205866,0.2655539244944642,,
4,avg,hybrid,10.0,5000,42,0.4870368002494798,0.26232995228578493,0.013172836371958999,0.007821242572100366
