trained_up_to_task,eval_task,model,lambda_ewc,seed,recall@10,ndcg@10,forgetting_recall,forgetting_ndcg
0,0,ewc,1.0,42,1.0,0.9266508426426006,,
0,avg,ewc,1.0,42,1.0,0.9266508426426006,0.0,0.0
1,0,ewc,1.0,42,1.0,0.9263925709617646,,
1,1,ewc,1.0,42,1.0,0.9247325124787547,,
1,avg,ewc,1.0,42,1.0,0.9255625417202596,0.0,0.0002582716808359198
2,0,ewc,1.0,42,1.0,0.9251012125575852,,
2,1,ewc,1.0,42,1.0,0.9234347971766642,,
2,2,ewc,1.0,42,1.0,0.9243040090917528,,
2,avg,ewc,1.0,42,1.0,0.924280006275334,0.0,0.0014236726935529243
3,0,ewc,1.0,42,1.0,0.9253594842384211,,
3,1,ewc,1.0,42,1.0,0.9203202804516472,,
3,2,ewc,1.0,42,1.0,0.9289043179314805,,
3,3,ewc,1.0,42,1.0,0.930337099082715,,
3,avg,ewc,1.0,42,1.0,0.9262302954260659,0.0,0.0003677605305197525
4,0,ewc,1.0,42,1.0,0.9263925709617646,,
4,1,ewc,1.0,42,1.0,0.9252515985995908,,
4,2,ewc,1.0,42,1.0,0.9282770030896995,,
4,3,ewc,1.0,42,1.0,0.9281899548763604,,
4,4,ewc,1.0,42,1.0,0.9301759020702259,,
4,avg,ewc,1.0,42,1.0,0.9276574059195284,0.0,0.0006284111520338531
