trained_up_to_task,eval_task,model,lambda_ewc,buffer_size,seed,recall@10,ndcg@10,forgetting_recall,forgetting_ndcg
0,0,hybrid,0.1,5000,42,1.0,0.9266508426426006,,
0,avg,hybrid,0.1,5000,42,1.0,0.9266508426426006,0.0,0.0
1,0,hybrid,0.1,5000,42,1.0,0.925617755919257,,
1,1,hybrid,0.1,5000,42,1.0,0.9223966249349919,,
1,avg,hybrid,0.1,5000,42,1.0,0.9240071904271244,0.0,0.001033086723343568
2,0,hybrid,0.1,5000,42,1.0,0.9253594842384211,,
2,1,hybrid,0.1,5000,42,1.0,0.9223966249349919,,
2,2,hybrid,0.1,5000,42,1.0,0.9263950585643563,,
2,avg,hybrid,0.1,5000,42,1.0,0.9247170559125898,0.0,0.0006456792020897439
3,0,hybrid,0.1,5000,42,1.0,0.9263925709617646,,
3,1,hybrid,0.1,5000,42,1.0,0.9216179957537376,,
3,2,hybrid,0.1,5000,42,1.0,0.9312044723513444,,
3,3,hybrid,0.1,5000,42,1.0,0.932007100132102,,
3,avg,hybrid,0.1,5000,42,1.0,0.9278055347997372,0.0,-0.0012575043082992954
4,0,hybrid,0.1,5000,42,1.0,0.9261342992809287,,
4,1,hybrid,0.1,5000,42,1.0,0.9262897708412632,,
4,2,hybrid,0.1,5000,42,1.0,0.9289043179314805,,
4,3,hybrid,0.1,5000,42,1.0,0.9277128117193926,,
4,4,hybrid,0.1,5000,42,1.0,0.9235967317485755,,
4,avg,hybrid,0.1,5000,42,1.0,0.9265275863043281,0.0,0.0008044600719934458
