trained_up_to_task,eval_task,model,lambda_ewc,seed,recall@10,ndcg@10,forgetting_recall,forgetting_ndcg
0,0,ewc,100.0,42,0.4457662701189643,0.2465405803489218,,
0,avg,ewc,100.0,42,0.4457662701189643,0.2465405803489218,,
1,0,ewc,100.0,42,0.4443666899930021,0.2495587059590598,,
1,1,ewc,100.0,42,0.47960618846694797,0.2531328057731422,,
1,avg,ewc,100.0,42,0.46198643922997507,0.251345755866101,0.0013995801259621965,-0.003018125610138006
2,0,ewc,100.0,42,0.43037088873338,0.23869841681901519,,
2,1,ewc,100.0,42,0.46905766526019693,0.2460569004553112,,
2,2,ewc,100.0,42,0.4985835694050991,0.2694185975084224,,
2,avg,ewc,100.0,42,0.466004041132892,0.25139130492758294,0.012971952296167683,0.008968097228937794
3,0,ewc,100.0,42,0.43037088873338,0.23823276522945408,,
3,1,ewc,100.0,42,0.4613220815752461,0.24605881939373606,,
3,2,ewc,100.0,42,0.5087818696883852,0.2752032865714757,,
3,3,ewc,100.0,42,0.5507433742727861,0.309317561874254,,
3,avg,ewc,100.0,42,0.48780455356744934,0.26720310826723,0.007827062664666687,0.0042050793486528475
4,0,ewc,100.0,42,0.4310706787963611,0.2350558604786995,,
4,1,ewc,100.0,42,0.47890295358649787,0.257567120084615,,
4,2,ewc,100.0,42,0.5229461756373938,0.2857172342602997,,
4,3,ewc,100.0,42,0.5565610859728507,0.31312259875656945,,
4,4,ewc,100.0,42,0.4974123059229442,0.2629273907249861,,
4,avg,ewc,100.0,42,0.4973786399832095,0.27087804086103395,-0.0011457978615049547,-0.0010626133505629992
