trained_up_to_task,eval_task,model,lambda_ewc,buffer_size,seed,recall@10,ndcg@10,forgetting_recall,forgetting_ndcg
0,0,hybrid,100.0,5000,42,0.4457662701189643,0.2465405803489218,,
0,avg,hybrid,100.0,5000,42,0.4457662701189643,0.2465405803489218,,
1,0,hybrid,100.0,5000,42,0.44016794961511546,0.2454611430475143,,
1,1,hybrid,100.0,5000,42,0.4732770745428973,0.2508925654926716,,
1,avg,hybrid,100.0,5000,42,0.4567225120790064,0.24817685427009295,0.0055983205038488415,0.0010794373014074987
2,0,hybrid,100.0,5000,42,0.44786564030790765,0.24375074353144668,,
2,1,hybrid,100.0,5000,42,0.480309423347398,0.2504390734241314,,
2,2,hybrid,100.0,5000,42,0.5161473087818697,0.2733032689384968,,
2,avg,hybrid,100.0,5000,42,0.48144079081239183,0.2558310286313583,-0.00456585949672203,0.0016216644430076393
3,0,hybrid,100.0,5000,42,0.4338698390482855,0.23810655698232336,,
3,1,hybrid,100.0,5000,42,0.4606188466947961,0.24292115236301126,,
3,2,hybrid,100.0,5000,42,0.511614730878187,0.2761647343129004,,
3,3,hybrid,100.0,5000,42,0.5481577246283129,0.30079482745261216,,
3,avg,hybrid,100.0,5000,42,0.4885652853123954,0.2644968177777118,0.012739651938635577,0.004514657040618393
4,0,hybrid,100.0,5000,42,0.44226731980405876,0.2404280111788035,,
4,1,hybrid,100.0,5000,42,0.46272855133614627,0.25436428629396335,,
4,2,hybrid,100.0,5000,42,0.5252124645892351,0.28450796646369414,,
4,3,hybrid,100.0,5000,42,0.5520361990950227,0.30707431889458786,,
4,4,hybrid,100.0,5000,42,0.4968372627947096,0.26369669841513543,,
4,avg,hybrid,100.0,5000,42,0.49581635952383446,0.27001425624923686,0.0025588905602563633,-0.0029954688059857307
