trained_up_to_task,eval_task,model,seed,buffer_size,recall@10,ndcg@10,forgetting_recall,forgetting_ndcg
0,0,replay,42,5000,0.4457662701189643,0.2465405803489218,,
0,avg,replay,42,5000,0.4457662701189643,0.2465405803489218,,
1,0,replay,42,5000,0.44016794961511546,0.24774028724769848,,
1,1,replay,42,5000,0.4739803094233474,0.24980469980655676,,
1,avg,replay,42,5000,0.45707412951923143,0.2487724935271276,0.0055983205038488415,-0.0011997068987766868
2,0,replay,42,5000,0.4345696291112666,0.23461665445645427,,
2,1,replay,42,5000,0.4704641350210971,0.24627975232993501,,
2,2,replay,42,5000,0.5127478753541076,0.2691196800797924,,
2,avg,replay,42,5000,0.4725938798288238,0.2500053622887272,0.007356407704974005,0.008324290133932974
3,0,replay,42,5000,0.4058782365290413,0.22343873552211604,,
3,1,replay,42,5000,0.43319268635724334,0.23091031120547764,,
3,2,replay,42,5000,0.5087818696883852,0.2743530764627051,,
3,3,replay,42,5000,0.5507433742727861,0.30906227988124124,,
3,avg,replay,42,5000,0.474649041711864,0.259441100767885,0.028213887440583136,0.012654181314582949
4,0,replay,42,5000,0.42407277816655004,0.22646673427252106,,
4,1,replay,42,5000,0.45569620253164556,0.23967917649135642,,
4,2,replay,42,5000,0.5184135977337111,0.27690602333282277,,
4,3,replay,42,5000,0.5365223012281836,0.2943916241045374,,
4,4,replay,42,5000,0.49856239217941345,0.2666431289078382,,
4,avg,replay,42,5000,0.48665345436790075,0.2608173374218152,0.012133237377278783,0.010879196299240987
