trained_up_to_task,eval_task,model,lambda_ewc,seed,recall@10,ndcg@10,forgetting_recall,forgetting_ndcg
0,0,ewc,0.1,42,1.0,0.9266508426426006,,
0,avg,ewc,0.1,42,1.0,0.9266508426426006,0.0,0.0
1,0,ewc,0.1,42,1.0,0.9266508426426006,,
1,1,ewc,0.1,42,1.0,0.9244729694183366,,
1,avg,ewc,0.1,42,1.0,0.9255619060304685,0.0,0.0
2,0,ewc,0.1,42,1.0,0.9251012125575852,,
2,1,ewc,0.1,42,1.0,0.9221370818745738,,
2,2,ewc,0.1,42,1.0,0.9259768486698357,,
2,avg,ewc,0.1,42,1.0,0.9244050477006649,0.0,0.0019427588143891006
3,0,ewc,0.1,42,1.0,0.9266508426426006,,
3,1,ewc,0.1,42,1.0,0.9216179957537376,,
3,2,ewc,0.1,42,1.0,0.9301589476150426,,
3,3,ewc,0.1,42,1.0,0.9322456717105858,,
3,avg,ewc,0.1,42,1.0,0.9276683644304916,0.0,-0.00044237509353598864
4,0,ewc,0.1,42,1.0,0.928458744408452,,
4,1,ewc,0.1,42,1.0,0.9208393665724833,,
4,2,ewc,0.1,42,1.0,0.9284861080369599,,
4,3,ewc,0.1,42,1.0,0.9289056696118119,,
4,4,ewc,0.1,42,1.0,0.9291147455667339,,
4,avg,ewc,0.1,42,1.0,0.9271609268392883,0.0,0.001709635689214617
