model,lambda,avg_forgetting_ndcg,avg_ndcg
Hybrid,100,-0.0002120938228948756,0.9263765392798937
EWC,100,-5.802279731739999e-05,0.9262760778732156
Replay,-,-8.758199064539968e-06,0.9255568414445273
Hybrid,0.1,0.00024514433782548003,0.925941642017276
EWC,10,0.00027376210273156,0.9259815222051847
EWC,1,0.0005356232113884601,0.9260762183967577
Hybrid,1,0.0006255650016719894,0.925956055693316
EWC,0.1,0.00064200388201356,0.9262894175287029
Hybrid,10,0.00065419773039394,0.9252209927277344
Hybrid,0,0.0008893356442542493,0.9258098113955194
Baseline,-,0.00124645540114178,0.9265141848671693
