trained_up_to_task,eval_task,model,lambda_ewc,buffer_size,seed,recall@10,ndcg@10,forgetting_recall,forgetting_ndcg
0,0,hybrid,0.0,5000,42,1.0,0.9266508426426006,,
0,avg,hybrid,0.0,5000,42,1.0,0.9266508426426006,0.0,0.0
1,0,hybrid,0.0,5000,42,1.0,0.9243263975150774,,
1,1,hybrid,0.0,5000,42,1.0,0.92265616799541,,
1,avg,hybrid,0.0,5000,42,1.0,0.9234912827552437,0.0,0.002324445127523167
2,0,hybrid,0.0,5000,42,1.0,0.9258760276000928,,
2,1,hybrid,0.0,5000,42,1.0,0.9234347971766642,,
2,2,hybrid,0.0,5000,42,1.0,0.926185953617096,,
2,avg,hybrid,0.0,5000,42,1.0,0.925165592797951,0.0,-1.907069373252579e-06
3,0,hybrid,0.0,5000,42,1.0,0.9243263975150774,,
3,1,hybrid,0.0,5000,42,1.0,0.9210989096329014,,
3,2,hybrid,0.0,5000,42,1.0,0.9322499970876461,,
3,3,hybrid,0.0,5000,42,1.0,0.932007100132102,,
3,avg,hybrid,0.0,5000,42,1.0,0.9274206010919317,0.0,-0.0004679035997547191
4,0,hybrid,0.0,5000,42,1.0,0.9248429408767492,,
4,1,hybrid,0.0,5000,42,1.0,0.9223966249349919,,
4,2,hybrid,0.0,5000,42,1.0,0.9280678981424391,,
4,3,hybrid,0.0,5000,42,1.0,0.928667098033328,,
4,4,hybrid,0.0,5000,42,1.0,0.927629126461845,,
4,avg,hybrid,0.0,5000,42,1.0,0.9263207376898706,0.0,0.0025920437628761672
