file,model,lambda,avg_recall,avg_ndcg,avg_forgetting_ndcg,lambda_num
baseline_seed42.csv,Baseline,-,1.0,0.9265141848671693,0.00124645540114178,
replay_buf5000_seed42.csv,Replay,-,1.0,0.9255568414445273,-8.758199064539968e-06,
ewc_lambda0p1_seed42.csv,EWC,0.1,1.0,0.9262894175287029,0.00064200388201356,0.1
ewc_lambda1p0_seed42.csv,EWC,1,1.0,0.9260762183967577,0.0005356232113884601,1.0
ewc_lambda10p0_seed42.csv,EWC,10,1.0,0.9259815222051847,0.00027376210273156,10.0
ewc_lambda100p0_seed42.csv,EWC,100,1.0,0.9262760778732156,-5.802279731739999e-05,100.0
hybrid_lambda0p0_buf5000_seed42.csv,Hybrid,0,1.0,0.9258098113955194,0.0008893356442542493,0.0
hybrid_lambda0p1_buf5000_seed42.csv,Hybrid,0.1,1.0,0.925941642017276,0.00024514433782548003,0.1
hybrid_lambda1p0_buf5000_seed42.csv,Hybrid,1,1.0,0.925956055693316,0.0006255650016719894,1.0
hybrid_lambda10p0_buf5000_seed42.csv,Hybrid,10,1.0,0.9252209927277344,0.00065419773039394,10.0
hybrid_lambda100p0_buf5000_seed42.csv,Hybrid,100,1.0,0.9263765392798937,-0.0002120938228948756,100.0
